Year,Region,GDP,GDP_Type,Unit
2002,Koprivničko-križevačka županija,8937.3,GDP per Capita,EUR
2002,Krapinsko-zagorska županija,6411.77,GDP per Capita,EUR
2002,Zagrebačka županija,6879.48,GDP per Capita,EUR
2002,Crna Gora,4082.68,GDP per Capita,EUR
2002,Vardarski,2630.65,GDP per Capita,EUR
2002,Istocen,2093.74,GDP per Capita,EUR
2002,Jugozapaden,2351.13,GDP per Capita,EUR
2002,Jugoistocen,2516.95,GDP per Capita,EUR
2002,Pelagoniski,3660.84,GDP per Capita,EUR
2002,Poloski,1469.73,GDP per Capita,EUR
2002,Severoistocen,1708.35,GDP per Capita,EUR
2002,Skopski,4420.14,GDP per Capita,EUR
2002,Београдска област,5141.18,GDP per Capita,EUR
2002,Западнобачка област,2767.39,GDP per Capita,EUR
2002,Јужнобанатска област,3058.58,GDP per Capita,EUR
2002,Јужнобачка област,4852.57,GDP per Capita,EUR
2002,Севернобанатска област,2962.55,GDP per Capita,EUR
2002,Севернобачка област,3040.01,GDP per Capita,EUR
2002,Средњобанатска област,3384.03,GDP per Capita,EUR
2002,Сремска област,2769.36,GDP per Capita,EUR
2002,Златиборска област,2245.61,GDP per Capita,EUR
2002,Колубарска област,2257.81,GDP per Capita,EUR
2002,Мачванска област,1990.95,GDP per Capita,EUR
2002,Моравичка област,2873.41,GDP per Capita,EUR
2002,Поморавска област,2674.41,GDP per Capita,EUR
2002,Расинска област,2406.51,GDP per Capita,EUR
2002,Рашка област,2139.03,GDP per Capita,EUR
2002,Шумадијска област,2215.86,GDP per Capita,EUR
2002,Борска област,2394.33,GDP per Capita,EUR
2002,Браничевска област,3130.96,GDP per Capita,EUR
2002,Зајечарска област,2114.85,GDP per Capita,EUR
2002,Јабланичка област,2118.1,GDP per Capita,EUR
2002,Нишавска област,3024.36,GDP per Capita,EUR
2002,Пиротска област,2132.75,GDP per Capita,EUR
2002,Подунавска област,1754.69,GDP per Capita,EUR
2002,Пчињска област,2290.77,GDP per Capita,EUR
2002,Топличка област,2050.45,GDP per Capita,EUR
2002,Pomurska,10821.95,GDP per Capita,EUR
2002,Podravska,13075.38,GDP per Capita,EUR
2002,Koroska,12866.03,GDP per Capita,EUR
2002,Savinjska,14112.31,GDP per Capita,EUR
2002,Zasavska,10351.99,GDP per Capita,EUR
2002,Posavska,13372.82,GDP per Capita,EUR
2002,Jugovzhodna Slovenija,15265.59,GDP per Capita,EUR
2002,Primorsko-notranjska,12241.68,GDP per Capita,EUR
2002,Osrednjeslovenska,21900.38,GDP per Capita,EUR
2002,Gorenjska,13839.53,GDP per Capita,EUR
2002,Goriska,15067.07,GDP per Capita,EUR
2002,Obalno-kraska,16476.73,GDP per Capita,EUR
2002,Bjelovarsko-bilogorska županija,6747.56,GDP per Capita,EUR
2002,Virovitičko-podravska županija,6518.1,GDP per Capita,EUR
2002,Požeško-slavonska županija,6255.41,GDP per Capita,EUR
2002,Brodsko-posavska županija,5683.88,GDP per Capita,EUR
2002,Osječko-baranjska županija,7140.61,GDP per Capita,EUR
2002,Vukovarsko-srijemska županija,5469.67,GDP per Capita,EUR
2002,Karlovačka županija,7605.3,GDP per Capita,EUR
2002,Sisačko-moslavačka županija,7036.71,GDP per Capita,EUR
2002,Primorsko-goranska zupanija,10612.29,GDP per Capita,EUR
2002,Licko-senjska zupanija,7758.89,GDP per Capita,EUR
2002,Zadarska zupanija,7353.11,GDP per Capita,EUR
2002,Sibensko-kninska zupanija,6455.21,GDP per Capita,EUR
2002,Splitsko-dalmatinska zupanija,7345.08,GDP per Capita,EUR
2002,Istarska zupanija,12646.59,GDP per Capita,EUR
2002,Dubrovacko-neretvanska zupanija,8062.53,GDP per Capita,EUR
2002,Grad Zagreb,14906.1,GDP per Capita,EUR
2002,Međimurska županija,7339.87,GDP per Capita,EUR
2002,Varaždinska županija,8257.39,GDP per Capita,EUR
2002,Koprivničko-križevačka županija,8937.3,GDP per Capita,EUR
2002,Krapinsko-zagorska županija,6411.77,GDP per Capita,EUR
2002,Zagrebačka županija,6879.48,GDP per Capita,EUR
2002,Crna Gora,4082.68,GDP per Capita,EUR
2002,Vardarski,2630.65,GDP per Capita,EUR
2002,Istocen,2093.74,GDP per Capita,EUR
2002,Jugozapaden,2351.13,GDP per Capita,EUR
2002,Jugoistocen,2516.95,GDP per Capita,EUR
2002,Pelagoniski,3660.84,GDP per Capita,EUR
2002,Poloski,1469.73,GDP per Capita,EUR
2002,Severoistocen,1708.35,GDP per Capita,EUR
2002,Skopski,4420.14,GDP per Capita,EUR
2002,Београдска област,5141.18,GDP per Capita,EUR
2002,Западнобачка област,2767.39,GDP per Capita,EUR
2002,Јужнобанатска област,3058.58,GDP per Capita,EUR
2002,Јужнобачка област,4852.57,GDP per Capita,EUR
2002,Севернобанатска област,2962.55,GDP per Capita,EUR
2002,Севернобачка област,3040.01,GDP per Capita,EUR
2002,Средњобанатска област,3384.03,GDP per Capita,EUR
2002,Сремска област,2769.36,GDP per Capita,EUR
2002,Златиборска област,2245.61,GDP per Capita,EUR
2002,Колубарска област,2257.81,GDP per Capita,EUR
2002,Мачванска област,1990.95,GDP per Capita,EUR
2002,Моравичка област,2873.41,GDP per Capita,EUR
2002,Поморавска област,2674.41,GDP per Capita,EUR
2002,Расинска област,2406.51,GDP per Capita,EUR
2002,Рашка област,2139.03,GDP per Capita,EUR
2002,Шумадијска област,2215.86,GDP per Capita,EUR
2002,Борска област,2394.33,GDP per Capita,EUR
2002,Браничевска област,3130.96,GDP per Capita,EUR
2002,Зајечарска област,2114.85,GDP per Capita,EUR
2002,Јабланичка област,2118.1,GDP per Capita,EUR
2002,Нишавска област,3024.36,GDP per Capita,EUR
2002,Пиротска област,2132.75,GDP per Capita,EUR
2002,Подунавска област,1754.69,GDP per Capita,EUR
2002,Пчињска област,2290.77,GDP per Capita,EUR
2002,Топличка област,2050.45,GDP per Capita,EUR
2002,Pomurska,10821.95,GDP per Capita,EUR
2002,Podravska,13075.38,GDP per Capita,EUR
2002,Koroska,12866.03,GDP per Capita,EUR
2002,Savinjska,14112.31,GDP per Capita,EUR
2002,Zasavska,10351.99,GDP per Capita,EUR
2002,Posavska,13372.82,GDP per Capita,EUR
2002,Jugovzhodna Slovenija,15265.59,GDP per Capita,EUR
2002,Primorsko-notranjska,12241.68,GDP per Capita,EUR
